,yearly_seasonality,changepoint_prior_scale,seasonality_prior_scale,wape,nfm,bias,rmses,articleId
16,True,1.0,0.01,0.5288444621341613,0.19072638857217852,25.721504209021123,2.481822922727665,7708674
4,True,0.01,0.01,0.4252283524908,-0.20234477161256698,-43.54968530841334,4.509827673832115,7700486
0,True,0.001,0.01,0.6323798948751542,0.24557290692196843,107.77942216918642,11.479323819348407,7708683
0,True,0.001,0.01,0.6345637504580288,-0.24027442002979804,-34.10620809947894,4.813388548850267,7790605
13,True,0.5,0.1,0.7430180179746545,0.2725115819787848,47.3250493263981,4.012338340876591,7790609
12,True,0.5,0.01,0.6642422761781169,0.16542563328248916,72.85826844479882,11.273419910019717,7790611
0,True,0.001,0.01,0.2535215783697835,-0.10633425370753756,-16.35651993058545,1.6240036949476997,7700499
0,True,0.001,0.01,0.3456714017274352,-0.2163766972301555,-40.41729583478927,2.7714601206577454,7708698
8,True,0.1,0.01,0.7300409349228607,0.23958464255538425,90.63961596739587,9.565768632879605,7790620
12,True,0.5,0.01,0.44513805056523564,0.1791616776607285,89.34280508054354,8.187679224743325,7708702
1,True,0.001,0.1,0.3300702420598584,0.06716414699920892,20.154430185606262,3.8064589521486205,7790625
0,True,0.001,0.01,0.6290721311923541,-0.005449637742760192,-1.2174016553736715,7.45140733887351,7708706
8,True,0.1,0.01,0.210329486770791,-0.036482088389601514,-77.13884325388219,18.066691795862567,7708707
12,True,0.5,0.01,0.48140533089363075,-0.49532806100911186,-82.17990269978513,4.565340005623531,7708708
8,True,0.1,0.01,0.3673236268051139,0.09381957252796892,237.62750348126747,37.586517458836866,7790629
12,True,0.5,0.01,0.3830885324400803,-0.19213947355484073,-420.0154088652529,38.49762237610683,7790630
16,True,1.0,0.01,0.6469459869667759,0.4710351506965169,256.9341707625614,10.550741072143094,7790631
12,True,0.5,0.01,0.188933680088026,0.06719666361470715,243.01731574265568,30.598861318578336,7790632
0,True,0.001,0.01,0.6464193186433682,0.39410755792848173,145.77557205982077,7.647692093182015,7790634
16,True,1.0,0.01,0.24527930204992554,0.16936279862148357,88.63010156092274,5.0739592269779585,7790635
8,True,0.1,0.01,0.5965731959810713,0.05457658962262479,4.3763984414467,2.1329836339906936,7790637
5,True,0.01,0.1,0.5825241128924336,-0.36917901271826736,-86.0157944699458,6.40831288592504,7790639
12,True,0.5,0.01,0.24050973029197895,-0.03533724839373132,-47.57150721593507,13.276488611311933,7995442
0,True,0.001,0.01,0.7704573898292887,0.5561950836405126,172.58245532176068,6.34440644031412,7790642
16,True,1.0,0.01,0.27011497120903233,-0.051515797567907216,-38.21907878618684,8.709413736616982,7790643
8,True,0.1,0.01,0.5446995343720025,-0.15862453562963438,-14.255911301023481,2.262424187158088,7790645
4,True,0.01,0.01,0.2846552329264447,0.13664566136911718,41.653234732952996,3.4699649624753417,7700535
